
     1 = number of bitstrings processed
 173.0 = average number of pharmacophores hit per molecule
   1.6 = percentage of pharmacophores hit at least once (out of 10549)

Pharmacophore hit list:

              p1
             /  \
            /    \
       d2  /      \  d3
          /        \
         /          \
        /            \
      p3 ------------ p2
              d1

    1 | 2-4.5 | 2-4.5 | 2-4.5 | X | X | X |
    3 | 2-4.5 | 2-4.5 | 2-4.5 | X | X | D |
    4 | 2-4.5 | 2-4.5 | 2-4.5 | X | X | H |
    6 | 2-4.5 | 2-4.5 | 2-4.5 | X | X | P |
    7 | 2-4.5 | 2-4.5 | 2-4.5 | X | X | R |
   15 | 2-4.5 | 2-4.5 | 2-4.5 | X | D | H |
   18 | 2-4.5 | 2-4.5 | 2-4.5 | X | D | R |
   21 | 2-4.5 | 2-4.5 | 2-4.5 | X | H | P |
   22 | 2-4.5 | 2-4.5 | 2-4.5 | X | H | R |
   27 | 2-4.5 | 2-4.5 | 2-4.5 | X | P | R |
   58 | 2-4.5 | 2-4.5 | 2-4.5 | D | H | R |
   73 | 2-4.5 | 2-4.5 | 2-4.5 | H | P | R |
   85 | 2-4.5 | 2-4.5 | 4.5-7 | X | X | X |
   87 | 2-4.5 | 2-4.5 | 4.5-7 | X | X | D |
   88 | 2-4.5 | 2-4.5 | 4.5-7 | X | X | H |
   90 | 2-4.5 | 2-4.5 | 4.5-7 | X | X | P |
   91 | 2-4.5 | 2-4.5 | 4.5-7 | X | X | R |
   99 | 2-4.5 | 2-4.5 | 4.5-7 | X | D | X |
  102 | 2-4.5 | 2-4.5 | 4.5-7 | X | D | H |
  105 | 2-4.5 | 2-4.5 | 4.5-7 | X | D | R |
  106 | 2-4.5 | 2-4.5 | 4.5-7 | X | H | X |
  108 | 2-4.5 | 2-4.5 | 4.5-7 | X | H | D |
  111 | 2-4.5 | 2-4.5 | 4.5-7 | X | H | P |
  112 | 2-4.5 | 2-4.5 | 4.5-7 | X | H | R |
  120 | 2-4.5 | 2-4.5 | 4.5-7 | X | P | X |
  123 | 2-4.5 | 2-4.5 | 4.5-7 | X | P | H |
  126 | 2-4.5 | 2-4.5 | 4.5-7 | X | P | R |
  127 | 2-4.5 | 2-4.5 | 4.5-7 | X | R | X |
  129 | 2-4.5 | 2-4.5 | 4.5-7 | X | R | D |
  132 | 2-4.5 | 2-4.5 | 4.5-7 | X | R | P |
  176 | 2-4.5 | 2-4.5 | 4.5-7 | D | D | X |
  179 | 2-4.5 | 2-4.5 | 4.5-7 | D | D | H |
  182 | 2-4.5 | 2-4.5 | 4.5-7 | D | D | R |
  183 | 2-4.5 | 2-4.5 | 4.5-7 | D | H | X |
  189 | 2-4.5 | 2-4.5 | 4.5-7 | D | H | R |
  197 | 2-4.5 | 2-4.5 | 4.5-7 | D | P | X |
  200 | 2-4.5 | 2-4.5 | 4.5-7 | D | P | H |
  203 | 2-4.5 | 2-4.5 | 4.5-7 | D | P | R |
  204 | 2-4.5 | 2-4.5 | 4.5-7 | D | R | X |
  211 | 2-4.5 | 2-4.5 | 4.5-7 | H | H | X |
  213 | 2-4.5 | 2-4.5 | 4.5-7 | H | H | D |
  216 | 2-4.5 | 2-4.5 | 4.5-7 | H | H | P |
  225 | 2-4.5 | 2-4.5 | 4.5-7 | H | P | X |
  231 | 2-4.5 | 2-4.5 | 4.5-7 | H | P | R |
  232 | 2-4.5 | 2-4.5 | 4.5-7 | H | R | X |
  234 | 2-4.5 | 2-4.5 | 4.5-7 | H | R | D |
  237 | 2-4.5 | 2-4.5 | 4.5-7 | H | R | P |
  267 | 2-4.5 | 2-4.5 | 4.5-7 | P | R | X |
  281 | 2-4.5 | 2-4.5 |  7-10 | X | X | X |
  283 | 2-4.5 | 2-4.5 |  7-10 | X | X | D |
  286 | 2-4.5 | 2-4.5 |  7-10 | X | X | P |
  295 | 2-4.5 | 2-4.5 |  7-10 | X | D | X |
  302 | 2-4.5 | 2-4.5 |  7-10 | X | H | X |
  304 | 2-4.5 | 2-4.5 |  7-10 | X | H | D |
  307 | 2-4.5 | 2-4.5 |  7-10 | X | H | P |
  372 | 2-4.5 | 2-4.5 |  7-10 | D | D | X |
  378 | 2-4.5 | 2-4.5 |  7-10 | D | D | R |
  393 | 2-4.5 | 2-4.5 |  7-10 | D | P | X |
  399 | 2-4.5 | 2-4.5 |  7-10 | D | P | R |
  407 | 2-4.5 | 2-4.5 |  7-10 | H | H | X |
  409 | 2-4.5 | 2-4.5 |  7-10 | H | H | D |
  412 | 2-4.5 | 2-4.5 |  7-10 | H | H | P |
  428 | 2-4.5 | 2-4.5 |  7-10 | H | R | X |
  430 | 2-4.5 | 2-4.5 |  7-10 | H | R | D |
  433 | 2-4.5 | 2-4.5 |  7-10 | H | R | P |
  477 | 2-4.5 | 4.5-7 | 4.5-7 | X | X | X |
  479 | 2-4.5 | 4.5-7 | 4.5-7 | X | X | D |
  480 | 2-4.5 | 4.5-7 | 4.5-7 | X | X | H |
  482 | 2-4.5 | 4.5-7 | 4.5-7 | X | X | P |
  483 | 2-4.5 | 4.5-7 | 4.5-7 | X | X | R |
